code,description
LAB//229324//UNK,
LAB//225985//UNK,
LAB//227754//UNK,
LAB//225339//UNK,
PROCEDURE//START//224272,Insertion of intra-aortic balloon counterpulsation
LAB//223972//UNK,
LAB//223971//UNK,
LAB//223973//UNK,
MEDICATION//START//Heparin (IABP),
MEDICATION//STOP//Metoprolol Tartrate,
LAB//220061//mmHg,
LAB//223773//cm,
LAB//227516//mmHg,
LAB//225230//UNK,
LAB//227757//UNK,
LAB//225357//UNK,
LAB//225358//UNK,
LAB//228953//UNK,
LAB//228977//UNK,
LAB//228957//UNK,
LAB//228943//UNK,
LAB//228947//UNK,
LAB//229095//UNK,
LAB//229094//UNK,
LAB//229102//UNK,
LAB//229103//UNK,
INFUSION_START//221456,calcium gluconate Injection
INFUSION_END//221456,calcium gluconate Injection
LAB//226540//%,
PROCEDURE//END//224560,Pulmonary catheterization with Swan-Ganz catheter
LAB//225745//UNK,
MEDICATION//STOP//Potassium Chloride Replacement (Critical Care and Oncology),
MEDICATION//START//Potassium Chloride Replacement (Critical Care and Oncology) ,
MEDICATION//STOP//Ipratropium-Albuterol Neb,
LAB//220507//UNK,
LAB//228420//UNK,
PROCEDURE//END//224272,Insertion of intra-aortic balloon counterpulsation
LAB//225742//UNK,
MEDICATION//STOP//Heparin (IABP),
PROCEDURE//START//228128,Liaising with family
PROCEDURE//END//228128,Liaising with family
MEDICATION//START//QUEtiapine Fumarate,
MEDICATION//STOP//Potassium Chloride Replacement (Critical Care and Oncology) ,
INFUSION_START//225913,warfarin Injectable Solution [Coumadin]
INFUSION_END//225913,warfarin Injectable Solution [Coumadin]
MEDICATION//START//Warfarin,
MEDICATION//STOP//QUEtiapine Fumarate,
MEDICATION//STOP//TiCAGRELOR,
MEDICATION//START//Clopidogrel,
PROCEDURE//END//229351,
TRANSFER_TO//transfer//Medicine/Cardiology,
ICU_DISCHARGE//Coronary Care Unit (CCU),
MEDICATION//STOP//Clopidogrel,
MEDICATION//STOP//Calcium Gluconate sliding scale (Critical Care-Ionized calcium),
MEDICATION//STOP//Magnesium Sulfate Replacement (Critical Care and Oncology),
MEDICATION//STOP//Atropine Sulfate,
MEDICATION//QUEtiapine Fumarate//Administered,
MEDICATION//HydrALAzine//Not Given,
MEDICATION//MetRONIDAZOLE (FLagyl)//Administered,
MEDICATION//Vancomycin Oral Liquid//Administered,
MEDICATION//HydrALAzine//Administered,
MEDICATION//Aspirin EC//Administered,
MEDICATION//Gabapentin//Administered,
MEDICATION//Clopidogrel//Administered,
MEDICATION//Metoprolol Tartrate//Administered,
MEDICATION//Omeprazole//Administered,
MEDICATION//START//Digoxin,
MEDICATION//Digoxin//Administered,
MEDICATION//START//Captopril,
MEDICATION//Warfarin//Not Given,
MEDICATION//Captopril//Administered,
MEDICATION//STOP//Warfarin,
MEDICATION//STOP//Digoxin,
MEDICATION//Warfarin//Administered,
MEDICATION//STOP//Metoprolol Succinate XL,
MEDICATION//Metoprolol Succinate XL//Not Given,
MEDICATION//Atorvastatin//Administered,
LAB//51260//UNK,
MEDICATION//START//Metoprolol Succinate XL,
MEDICATION//Metoprolol Succinate XL//Administered,
MEDICATION//PNEUMOcoccal 23-valent polysaccharide vaccine//Not Given,
MEDICATION//Influenza Vaccine Quadrivalent//Administered,
DIAGNOSIS//ICD//10//R310,Gross hematuria
DIAGNOSIS//ICD//10//N179,"Acute kidney failure, unspecified"
DIAGNOSIS//ICD//10//Z7901,Long term (current) use of anticoagulants
DIAGNOSIS//ICD//10//Z86718,Personal history of other venous thrombosis and embolism
DIAGNOSIS//ICD//10//I214,Non-ST elevation (NSTEMI) myocardial infarction
DIAGNOSIS//ICD//10//A047,Enterocolitis due to Clostridium difficile
DIAGNOSIS//ICD//10//Z23,Encounter for immunization
DIAGNOSIS//ICD//10//K219,Gastro-esophageal reflux disease without esophagitis
DIAGNOSIS//ICD//10//X58XXXA,"Exposure to other specified factors, initial encounter"
DIAGNOSIS//ICD//10//Y92239,Unspecified place in hospital as the place of occurrence of the external cause
DIAGNOSIS//ICD//10//I509,"Heart failure, unspecified"
DIAGNOSIS//ICD//10//R570,Cardiogenic shock
DIAGNOSIS//ICD//10//Z87891,Personal history of nicotine dependence
DIAGNOSIS//ICD//10//R410,"Disorientation, unspecified"
DIAGNOSIS//ICD//10//E118,Type 2 diabetes mellitus with unspecified complications
DIAGNOSIS//ICD//10//I2510,Atherosclerotic heart disease of native coronary artery without angina pectoris
DIAGNOSIS//ICD//10//Z7902,Long term (current) use of antithrombotics/antiplatelets
DIAGNOSIS//ICD//10//E785,"Hyperlipidemia, unspecified"
DIAGNOSIS//ICD//10//S3730XA,"Unspecified injury of urethra, initial encounter"
DIAGNOSIS//ICD//10//T45515A,"Adverse effect of anticoagulants, initial encounter"
DIAGNOSIS//ICD//10//I480,Paroxysmal atrial fibrillation
DIAGNOSIS//ICD//10//I252,Old myocardial infarction
DIAGNOSIS//ICD//10//K2960,Other gastritis without bleeding
DIAGNOSIS//ICD//10//B9681,Helicobacter pylori [H. pylori] as the cause of diseases classified elsewhere
DIAGNOSIS//ICD//10//R578,Other shock
DRG//HCFA//270//OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC,
DRG//APR//174//PERCUTANEOUS CORONARY INTERVENTION W AMI,
MEDICATION//STOP//Gabapentin,
MEDICATION//STOP//Glucose Gel,
MEDICATION//STOP//Atorvastatin,
MEDICATION//STOP//Captopril,
MEDICATION//STOP//Aspirin EC,
MEDICATION//STOP//PNEUMOcoccal 23-valent polysaccharide vaccine,
LAB//51300//K/uL,Leukocytes [#/volume] in Blood by Automated count
LAB//52769//#/uL,Lymphocytes [#/volume] in Blood by Automated count
LAB//51131//#/uL,CD3+CD4+ (T4 helper) cells [#/volume] in Blood
LAB//51130//#/uL,CD3 cells [#/volume] in Blood
LAB//51181//Ratio,CD3+CD4+ (T4 helper) cells/CD3+CD8+ (T8 suppressor cells) cells [# Ratio] in Blood
LAB//51176//%,CD3 cells/100 cells in Blood
LAB//51194//%,CD3+CD8+ (T8 suppressor cells) cells/100 cells in Blood
LAB//51132//#/uL,CD3+CD8+ (T8 suppressor cells) cells [#/volume] in Blood
LAB//51180//%,CD3+CD4+ (T4 helper) cells/100 cells in Blood
LAB//51245//%,Lymphocytes/100 leukocytes in Blood by Automated count
MEDICATION//START//RiTONAvir,
DIAGNOSIS//ICD//9//V620,Unemployment
DIAGNOSIS//ICD//9//3559,Mononeuritis of unspecified site
DIAGNOSIS//ICD//9//311,"Depressive disorder, not elsewhere classified"
DIAGNOSIS//ICD//9//30560,"Cocaine abuse, unspecified"
DIAGNOSIS//ICD//9//30500,"Alcohol abuse, unspecified"
DIAGNOSIS//ICD//9//V1552,Personal history of traumatic brain injury
DIAGNOSIS//ICD//9//30001,Panic disorder without agoraphobia
TRANSFER_TO//admit//Psychiatry,
MEDICATION//START//Nicotine Polacrilex,
MEDICATION//START//HydrOXYzine,
LAB//50946//mIU/mL,Choriogonadotropin [Units/volume] in Serum or Plasma
MEDICATION//START//Amitriptyline,
MEDICATION//START//Darunavir,
MEDICATION//START//Sertraline,
MEDICATION//START//Ibuprofen,
DIAGNOSIS//ICD//9//V6284,Suicidal ideation
DRG//HCFA//881//DEPRESSIVE NEUROSES,
DRG//APR//754//DEPRESSION EXCEPT MAJOR DEPRESSIVE DISORDER,
MEDICATION//STOP//Amitriptyline,
MEDICATION//STOP//Darunavir,
MEDICATION//STOP//Ibuprofen,
MEDICATION//STOP//RiTONAvir,
MEDICATION//STOP//Sertraline,
MEDICATION//STOP//Nicotine Polacrilex,
MEDICATION//STOP//HydrOXYzine,
LAB//51296//UNK,
INFUSION_START//225825,
LAB//223823//UNK,
LAB//223811//UNK,
LAB//223829//UNK,
LAB//223817//UNK,
LAB//223821//UNK,
LAB//223814//UNK,
LAB//223824//UNK,
LAB//223827//UNK,
LAB//223819//UNK,
LAB//223825//UNK,
LAB//223828//UNK,
LAB//223820//UNK,
LAB//223806//UNK,
LAB//223805//UNK,
LAB//223810//UNK,
LAB//223818//UNK,
MEDICATION//START//PHENObarbital - ICU Alcohol Withdrawal (Loading Dose 1) ,
MEDICATION//STOP//PHENObarbital - ICU Alcohol Withdrawal (Loading Dose 2 and 3),
MEDICATION//STOP//PHENObarbital - ICU Alcohol Withdrawal (Loading Dose 1) ,
LAB//229003//UNK,
LAB//229001//UNK,
LAB//229113//UNK,
LAB//229112//UNK,
MEDICATION//START//PHENObarbital - ICU Alcohol Withdrawal (Loading Dose 2 and 3),
LAB//229140//UNK,
LAB//229138//UNK,
LAB//229136//UNK,
LAB//229141//UNK,
MEDICATION//START//Thiamine,
MEDICATION//START//FoLIC Acid,
INFUSION_START//225833,thiamine Injectable Solution
LAB//223938//UNK,
INFUSION_END//225833,thiamine Injectable Solution
MEDICATION//START//Diazepam,
INFUSION_END//225825,
MEDICATION//STOP//Thiamine,
MEDICATION//START//Multivitamins W/minerals,
MEDICATION//START//Magnesium Oxide,
MEDICATION//STOP//Diazepam,
MEDICATION//STOP//Magnesium Oxide,
MEDICATION//START//Polyethylene Glycol,
HOSPITAL_DISCHARGE//PSYCH FACILITY,
DIAGNOSIS//ICD//9//V600,Lack of housing
DIAGNOSIS//ICD//9//30590,"Other, mixed, or unspecified drug abuse, unspecified"
DIAGNOSIS//ICD//9//33829,Other chronic pain
DIAGNOSIS//ICD//9//37950,"Nystagmus, unspecified"
DIAGNOSIS//ICD//9//2511,Other specified hypoglycemia
DRG//HCFA//644//ENDOCRINE DISORDERS W CC,
DRG//APR//424//OTHER ENDOCRINE DISORDERS,
MEDICATION//STOP//Polyethylene Glycol,
MEDICATION//STOP//FoLIC Acid,
MEDICATION//STOP//Multivitamins W/minerals,
MEDICATION//ARIPiprazole//Not Given,
MEDICATION//ClonazePAM//Not Given,
HOSPITAL_ADMISSION//URGENT//INTERNAL TRANSFER TO OR FROM PSYCH,
DIAGNOSIS//ICD//9//2989,Unspecified psychosis
DIAGNOSIS//ICD//9//29284,Drug-induced mood disorder
DIAGNOSIS//ICD//9//6253,Dysmenorrhea
DIAGNOSIS//ICD//9//29633,"Major depressive affective disorder, recurrent episode, severe, without mention of psychotic behavior"
DIAGNOSIS//ICD//9//30553,"Opioid abuse, in remission"
DRG//HCFA//885//PSYCHOSES,
DRG//APR//751//MAJOR DEPRESSIVE DISORDERS & OTHER/UNSPECIFIED PSYCHOSES,
MEDICATION//Diazepam//Administered,
MEDICATION//FoLIC Acid//Administered,
MEDICATION//Thiamine//Administered,
DIAGNOSIS//ICD//9//7801,Hallucinations
DIAGNOSIS//ICD//9//V1581,"Personal history of noncompliance with medical treatment, presenting hazards to health"
LAB//51989//UNK,
MEDICATION//Ketorolac//Administered,
TRANSFER_TO//admit//Medical/Surgical Intensive Care Unit (MICU/SICU),
ICU_ADMISSION//Medical/Surgical Intensive Care Unit (MICU/SICU),
MEDICATION//PHENObarbital - ICU Alcohol Withdrawal (Initial Load / Rescue Dose)//Administered,
MEDICATION//START//PHENObarbital - ICU Alcohol Withdrawal (Initial Load / Rescue Dose),
MEDICATION//START//Calcium Replacement (Oncology),
LAB//225135//UNK,
MEDICATION//Magnesium Sulfate Replacement (Critical Care and Oncology)//Administered,
MEDICATION//Potassium Chloride Replacement (Critical Care and Oncology) //Administered,
MEDICATION//START//PHENObarbital Alcohol Withdrawal Dose Taper (Days 2-7),
MEDICATION//PHENObarbital Alcohol Withdrawal Dose Taper (Days 2-7)//Administered,
LAB//229369//UNK,
LAB//229370//UNK,
ICU_DISCHARGE//Medical/Surgical Intensive Care Unit (MICU/SICU),
MEDICATION//STOP//PHENObarbital - ICU Alcohol Withdrawal (Initial Load / Rescue Dose),
MEDICATION//STOP//Calcium Replacement (Oncology),
MEDICATION//STOP//PHENObarbital Alcohol Withdrawal Dose Taper (Days 2-7),
DIAGNOSIS//ICD//10//F10239,"Alcohol dependence with withdrawal, unspecified"
DIAGNOSIS//ICD//10//F1110,"Opioid abuse, uncomplicated"
DIAGNOSIS//ICD//10//R45851,Suicidal ideations
DIAGNOSIS//ICD//10//D72819,"Decreased white blood cell count, unspecified"
DIAGNOSIS//ICD//10//F1410,"Cocaine abuse, uncomplicated"
DIAGNOSIS//ICD//10//F29,Unspecified psychosis not due to a substance or known physiological condition
DIAGNOSIS//ICD//10//R509,"Fever, unspecified"
DIAGNOSIS//ICD//10//Z9114,Patient's other noncompliance with medication regimen
DIAGNOSIS//ICD//10//B1920,Unspecified viral hepatitis C without hepatic coma
DIAGNOSIS//ICD//10//Z21,Asymptomatic human immunodeficiency virus [HIV] infection status
DIAGNOSIS//ICD//10//Z87820,Personal history of traumatic brain injury
DIAGNOSIS//ICD//10//Z590,Homelessness
DRG//HCFA//897//ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,
DRG//APR//773//OPIOID ABUSE & DEPENDENCE,
MEDICATION//START//Lidocaine 5% Patch,
MEDICATION//START//Bengay Cream,
DIAGNOSIS//ICD//10//B20,Human immunodeficiency virus [HIV] disease
DIAGNOSIS//ICD//10//F1099,"Alcohol use, unspecified with unspecified alcohol-induced disorder"
DIAGNOSIS//ICD//10//F1490,"Cocaine use, unspecified, uncomplicated"
DIAGNOSIS//ICD//10//F209,"Schizophrenia, unspecified"
DIAGNOSIS//ICD//10//F1994,"Other psychoactive substance use, unspecified with psychoactive substance-induced mood disorder"
DRG//HCFA//896//ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W MCC,
DRG//APR//774//COCAINE ABUSE & DEPENDENCE,
MEDICATION//STOP//Lidocaine 5% Patch,
MEDICATION//STOP//Bengay Cream,
LAB//51734//UNK,STX3
LAB//51736//UNK,STX5
LAB//51732//UNK,STX1
LAB//51733//UNK,STX2
LAB//51737//UNK,STX6
LAB//51735//UNK,STX4
LAB//52004//UNK,UTX1
LAB//52008//UNK,UTX5
LAB//52007//UNK,UTX4
LAB//52005//UNK,UTX2
LAB//52009//UNK,UTX6
LAB//52010//UNK,UTX7
LAB//52006//UNK,UTX3
MEDICATION//Nitrofurantoin Monohyd (MacroBID)//Administered,
DIAGNOSIS//ICD//10//F39,Unspecified mood [affective] disorder
DIAGNOSIS//ICD//10//N390,"Urinary tract infection, site not specified"
DIAGNOSIS//ICD//10//Y929,Unspecified place or not applicable
DIAGNOSIS//ICD//10//F1010,"Alcohol abuse, uncomplicated"
DIAGNOSIS//ICD//10//W19XXXA,"Unspecified fall, initial encounter"
DIAGNOSIS//ICD//10//F1910,"Other psychoactive substance abuse, uncomplicated"
DIAGNOSIS//ICD//10//F17200,"Nicotine dependence, unspecified, uncomplicated"
LAB//51654//log10 copies/mL,
LAB//51651//log10 IU/mL,Hepatitis C virus RNA [log units/volume] (viral load) in Serum or Plasma by NAA with probe detection
LAB//51233//N/A,Hypochromia [Presence] in Blood by Light microscopy
LAB//51282//m/uL,
LAB//51972//N/A,Chlamydia trachomatis [Presence] in Urine sediment by Organism specific culture
LAB//52018//UNK,PAN1
LAB//51986//N/A,Neisseria gonorrhoeae rRNA [Presence] in Urine by NAA with probe detection
MEDICATION//Dextrose 50%// in Other Location,
MEDICATION//Stribild//Not Given,
HOSPITAL_ADMISSION//EU OBSERVATION//PHYSICIAN REFERRAL,
MEDICATION//Stribild//Administered,
DIAGNOSIS//ICD//10//E162,"Hypoglycemia, unspecified"
DIAGNOSIS//ICD//10//F10129,"Alcohol abuse with intoxication, unspecified"
DIAGNOSIS//ICD//10//R4182,"Altered mental status, unspecified"
MEDICATION//Haloperidol//Administered,
LAB//51266//N/A,Platelet adequacy [Presence] in Blood by Light microscopy
LAB//52171//N/A,Erythrocyte morphology finding [Identifier] in Blood
LAB//50999//N/A,Tricyclic antidepressants [Presence] in Blood by Screen method
LAB//51090//N/A,Methadone [Presence] in Urine
LAB//51989//N/A,oxyCODONE [Presence] in Urine
LAB//51074//N/A,Barbiturates [Presence] in Urine by Screen method
LAB//51071//N/A,Amphetamine [Presence] in Urine by Screen method
LAB//51075//N/A,Benzodiazepines [Presence] in Urine by Screen method
LAB//51092//N/A,Opiates [Presence] in Urine by Screen method
LAB//51079//N/A,Cocaine [Presence] in Urine
LAB//51137//N/A,Anisocytosis [Presence] in Blood
LAB//51246//N/A,Macrocytes [Presence] in Blood
LAB//51267//N/A,Poikilocytosis [Presence] in Blood by Light microscopy
LAB//51260//N/A,Ovalocytes [Presence] in Blood by Light microscopy
LAB//51487//N/A,Nitrite [Presence] in Urine by Test strip
LAB//51508//N/A,Color of Urine
LAB//51486//N/A,Leukocytes [Presence] in Urine sediment by Light microscopy
LAB//51466//N/A,Blood [Presence] in Urine by Visual
LAB//51512///hpf,Mucus [Presence] in Urine sediment by Light microscopy
LAB//51463///hpf,Bacteria [#/area] in Urine sediment by Microscopy high power field
LAB//51464//N/A,
LAB//51519///hpf,Yeast [#/area] in Urine sediment by Microscopy high power field
LAB//51506//N/A,Appearance of Urine
LAB//51654//log10 cop/mL,
LAB//51772//UNK,PAN3
MEDICATION//Nitrofurantoin (Macrodantin)//Administered,
MEDICATION//Labetalol//Administered,
MEDICATION//Amitriptyline//Administered,
DIAGNOSIS//ICD//10//M542,Cervicalgia
DIAGNOSIS//ICD//10//D696,"Thrombocytopenia, unspecified"
DIAGNOSIS//ICD//10//R51,Headache
DIAGNOSIS//ICD//10//F17210,"Nicotine dependence, cigarettes, uncomplicated"
LAB//51748//UNK,Treponema pallidum Ab [Presence] in Serum
LAB//51749//UNK,Treponema pallidum Ab [Units/volume] in Serum
PROCEDURE//ICD//9//4242,Total esophagectomy
TRANSFER_TO//admit//Discharge Lounge,
HOSPITAL_ADMISSION//SURGICAL SAME DAY ADMISSION//PHYSICIAN REFERRAL,
TRANSFER_TO//transfer//Trauma SICU (TSICU),
ICU_ADMISSION//Trauma SICU (TSICU),
LAB//223919//UNK,
LAB//224756//UNK,
LAB//226104//UNK,
LAB//223918//UNK,
LAB//223920//UNK,
LAB//223917//UNK,
LAB//223902//UNK,
LAB//224730//UNK,
LAB//223916//UNK,
LAB//224731//UNK,
LAB//223911//UNK,
LAB//223898//UNK,
PROCEDURE//START//225469,Patient transfer to intensive care unit
PROCEDURE//END//225469,Patient transfer to intensive care unit
SUBJECT_FLUID_OUTPUT//226599//ml,
LAB//228300//UNK,
LAB//228303//UNK,
LAB//224775//UNK,
LAB//223994//UNK,
LAB//223995//UNK,
LAB//227366//UNK,
LAB//228098//UNK,
LAB//225187//UNK,
LAB//225237//UNK,
LAB//226136//UNK,
LAB//225185//UNK,
PROCEDURE//START//224276,Peripheral venous cannula insertion
LAB//228234//UNK,
LAB//228231//UNK,
LAB//228230//UNK,
LAB//228229//UNK,
LAB//228232//UNK,
MEDICATION//START//2,
INFUSION_START//226365,
INFUSION_START//226364,
INFUSION_END//226365,
SUBJECT_FLUID_OUTPUT//226627//ml,
SUBJECT_FLUID_OUTPUT//226626//ml,
INFUSION_END//226364,
LAB//224366//ml/hr,
LAB//224368//UNK,
LAB//223800//UNK,
LAB//227119//UNK,
LAB//224042//UNK,
LAB//227472//UNK,
LAB//223797//UNK,
LAB//227120//UNK,
MEDICATION//STOP//2,
LAB//224367//mL,
LAB//224994//UNK,
LAB//227474//UNK,
LAB//225004//UNK,
LAB//225014//UNK,
LAB//228010//UNK,
LAB//225028//UNK,
LAB//224993//UNK,
LAB//225024//UNK,
LAB//227473//UNK,
LAB//225029//UNK,
LAB//225023//UNK,
LAB//225005//UNK,
LAB//225013//UNK,
LAB//228009//UNK,
MEDICATION//START//1,
LAB//227287//L/min,
LAB//227115//UNK,
LAB//224329//min,
LAB//227113//UNK,
LAB//227117//UNK,
LAB//224665//UNK,
LAB//224331//ml/hr,
LAB//224327//UNK,
LAB//224328//UNK,
LAB//227111//UNK,
LAB//224410//UNK,
LAB//224330//UNK,
LAB//224379//UNK,
LAB//224332//UNK,
LAB//224663//UNK,
PROCEDURE//ICD//9//4639,Other enterostomy
SUBJECT_FLUID_OUTPUT//226575//ml,
LAB//225313//UNK,
LAB//227988//UNK,
LAB//224909//UNK,
LAB//224998//UNK,
LAB//224999//UNK,
LAB//224101//UNK,
LAB//224851//UNK,
LAB//228296//UNK,
MEDICATION//START//Ketorolac,
INFUSION_START//225936,
LAB//226537//UNK,
LAB//224411//mL,
LAB//224958//UNK,
LAB//223939//UNK,
MEDICATION//START//Sodium Phosphate,
LAB//228137//UNK,
INFUSION_START//225835,"sodium phosphate, dibasic / sodium phosphate, monobasic Injection"
INFUSION_END//225936,
INFUSION_END//225835,"sodium phosphate, dibasic / sodium phosphate, monobasic Injection"
MEDICATION//START//Acetaminophen (Liquid),
MEDICATION//STOP//Sodium Phosphate,
MEDICATION//STOP//1,
MEDICATION//STOP//Acetaminophen (Liquid),
PROCEDURE//END//224276,Peripheral venous cannula insertion
TRANSFER_TO//transfer//Med/Surg,
ICU_DISCHARGE//Trauma SICU (TSICU),
MEDICATION//START//DiphenhydrAMINE,
MEDICATION//START//Chloraseptic Throat Spray,
MEDICATION//START//OxycoDONE-Acetaminophen Elixir,
MEDICATION//STOP//Ketorolac,
MEDICATION//STOP//OxycoDONE-Acetaminophen Elixir,
MEDICATION//START//OxycoDONE Liquid,
MEDICATION//STOP//OxycoDONE Liquid,
DIAGNOSIS//ICD//9//1505,Malignant neoplasm of lower third of esophagus
DIAGNOSIS//ICD//9//53085,Barrett's esophagus
"DRG//HCFA//327//STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",
"DRG//APR//220//MAJOR STOMACH, ESOPHAGEAL & DUODENAL PROCEDURES",
MEDICATION//STOP//Chloraseptic Throat Spray,
MEDICATION//STOP//DiphenhydrAMINE,
TRANSFER_TO//admit//Med/Surg/Trauma,
MEDICATION//START//Pneumococcal Vac Polyvalent,
MEDICATION//STOP//Phytonadione,
MEDICATION//START//Phytonadione,
MEDICATION//START//Amlodipine,
MEDICATION//START//Lenalidomide (Revlimide)15mg ,
DIAGNOSIS//ICD//9//V5861,Long-term (current) use of anticoagulants
DIAGNOSIS//ICD//9//E9342,Anticoagulants causing adverse effects in therapeutic use
DIAGNOSIS//ICD//9//7919,Other nonspecific findings on examination of urine
DIAGNOSIS//ICD//9//42731,Atrial fibrillation
DIAGNOSIS//ICD//9//59972,Microscopic hematuria
DIAGNOSIS//ICD//9//20300,"Multiple myeloma, without mention of having achieved remission"
DIAGNOSIS//ICD//9//27800,"Obesity, unspecified"
"DRG//APR//468//OTHER KIDNEY & URINARY TRACT DIAGNOSES, SIGNS & SYMPTOMS",
DRG//HCFA//696//KIDNEY & URINARY TRACT SIGNS & SYMPTOMS W/O MCC,
MEDICATION//STOP//Amlodipine,
MEDICATION//STOP//Lenalidomide (Revlimide)15mg ,
MEDICATION//STOP//Pneumococcal Vac Polyvalent,
MEDICATION//START//Diltiazem Extended-Release,
MEDICATION//START//Hemorrhoidal Suppository,
MEDICATION//Metoprolol Tartrate//Not Given,
MEDICATION//Docusate Sodium//Administered,
MEDICATION//Hemorrhoidal Suppository//Administered,
MEDICATION//Diltiazem Extended-Release//Not Given,
MEDICATION//START//Psyllium,
MEDICATION//Clarithromycin//Administered,
MEDICATION//Vitamin D//Administered,
MEDICATION//Psyllium//Administered,
MEDICATION//Magnesium Sulfate//Administered,
MEDICATION//START//Tucks Hemorrhoidal Oint 1%,
MEDICATION//Senna//Administered,
MEDICATION//Phosphorus//Administered,
MEDICATION//nitroglycerin//Not Given,
MEDICATION//Potassium Chloride//Partial Administered,
MEDICATION//Diltiazem Extended-Release//Administered,
MEDICATION//Tucks Hemorrhoidal Oint 1%//Administered,
MEDICATION//nitroglycerin//Delayed Administered,
MEDICATION//START//nitroglycerin,
MEDICATION//START//Phosphorus,
MEDICATION//STOP//Phosphorus,
MEDICATION//nitroglycerin//Administered,
MEDICATION//Potassium Chloride//Not Given,
MEDICATION//HYDROmorphone (Dilaudid)//Administered,
MEDICATION//Polyethylene Glycol//Administered,
MEDICATION//START//Lidocaine Jelly 2%,
MEDICATION//Lidocaine Jelly 2%//Administered,
PROCEDURE//ICD//9//4923,Biopsy of anus
MEDICATION//Diltiazem//Administered,
MEDICATION//Lidocaine Jelly 2%//Not Given,
MEDICATION//Lidocaine Jelly 2%//Delayed Administered,
MEDICATION//Docusate Sodium//Hold Dose,
MEDICATION//Senna//Hold Dose,
MEDICATION//Polyethylene Glycol//Hold Dose,
MEDICATION//OxycoDONE (Immediate Release) //Administered,
MEDICATION//Readi-Cat 2 (Barium Sulfate 2% Suspension)//Administered,
MEDICATION//Docusate Sodium//Not Given,
MEDICATION//Senna//Not Given,
MEDICATION//Polyethylene Glycol//Not Given,
LAB//50948//UNK,Immunofixation for Serum or Plasma
LAB//51236//UNK,Blood smear finding [Identifier] in Blood by Light microscopy
LAB//50975//UNK,Protein Fractions [Interpretation] in Serum or Plasma by Electrophoresis
LAB//51287//UNK,
MEDICATION//UNK//Not Stopped,
MEDICATION//Psyllium//Not Given,
MEDICATION//MoviPrep//Administered,
MEDICATION//START//MoviPrep,
PROCEDURE//ICD//9//4523,Colonoscopy
MEDICATION//STOP//MoviPrep,
MEDICATION//Magnesium Citrate//Administered,
MEDICATION//START//Magnesium Citrate,
MEDICATION//STOP//Magnesium Citrate,
LAB//51147//UNK,
DIAGNOSIS//ICD//9//4589,"Hypotension, unspecified"
DIAGNOSIS//ICD//9//E8490,Home accidents
DIAGNOSIS//ICD//9//40390,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified"
DIAGNOSIS//ICD//9//71596,"Osteoarthrosis, unspecified whether generalized or localized, lower leg"
DIAGNOSIS//ICD//9//V8532,"Body Mass Index 32.0-32.9, adult"
DIAGNOSIS//ICD//9//56400,"Constipation, unspecified"
DIAGNOSIS//ICD//9//1548,"Malignant neoplasm of other sites of rectum, rectosigmoid junction, and anus"
DIAGNOSIS//ICD//9//28412,Other drug-induced pancytopenia
DIAGNOSIS//ICD//9//2851,Acute posthemorrhagic anemia
DIAGNOSIS//ICD//9//5853,"Chronic kidney disease, Stage III (moderate)"
DRG//HCFA//374//DIGESTIVE MALIGNANCY W MCC,
DRG//APR//240//DIGESTIVE MALIGNANCY,
MEDICATION//STOP//Lidocaine Jelly 2%,
MEDICATION//STOP//Hemorrhoidal Suppository,
MEDICATION//STOP//nitroglycerin,
MEDICATION//STOP//Tucks Hemorrhoidal Oint 1%,
MEDICATION//STOP//Diltiazem Extended-Release,
MEDICATION//STOP//Psyllium,
TRANSFER_TO//transfer//Cardiac Surgery,
MEDICATION//START//Diltiazem,
MEDICATION//Heparin Flush (10 units/ml)//Flushed,
MEDICATION//OxycoDONE (Immediate Release) //Not Given,
MEDICATION//START//Heparin Flush (100 units/ml),
MEDICATION//Sodium Chloride 0.9%  Flush//Delayed Flushed,
MEDICATION//STOP//Diltiazem,
MEDICATION//Phytonadione//Administered,
MEDICATION//START//Fluconazole,
MEDICATION//Fluconazole//Administered,
DIAGNOSIS//ICD//9//E9320,Adrenal cortical steroids causing adverse effects in therapeutic use
DIAGNOSIS//ICD//9//7905,Other nonspecific abnormal serum enzyme levels
DIAGNOSIS//ICD//9//5934,Other ureteric obstruction
DIAGNOSIS//ICD//9//2768,Hypopotassemia
DIAGNOSIS//ICD//9//78079,Other malaise and fatigue
DIAGNOSIS//ICD//9//1543,"Malignant neoplasm of anus, unspecified site"
DIAGNOSIS//ICD//9//28529,Anemia of other chronic disease
DIAGNOSIS//ICD//9//E8497,Accidents occurring in residential institution
DIAGNOSIS//ICD//9//5849,"Acute kidney failure, unspecified"
DIAGNOSIS//ICD//9//79092,Abnormal coagulation profile
DIAGNOSIS//ICD//9//2555,Other adrenal hypofunction
DIAGNOSIS//ICD//9//42832,Chronic diastolic heart failure
DRG//APR//201//CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS,
